(javac -classpath "/usr/local/bin/prism/classes:/usr/local/bin/prism/lib/*:/usr/local/bin/prism/prism/classes:/usr/local/bin/prism/prism/lib/*" -d classes src/./GetProbability.java)
PRISM_DIR=/usr/local/bin/prism PRISM_MAINCLASS=simulate.GetProbability bin/run
bin/run: 21: [[: not found



********************************

WORKING ON models/2react.sm

********************************
Path 126 - Length 8280	Prob 0.000000e+00
Path 127 - Length 4832	Prob 0.000000e+00
Path 128 - Length 5392	Prob 0.000000e+00
Path 129 - Length 7062	Prob 0.000000e+00
Path 130 - Length 6798	Prob 0.000000e+00
Path 131 - Length 3476	Prob 0.000000e+00
Path 132 - Length 4508	Prob 0.000000e+00
Path 133 - Length 782	Prob 2.189777e-241
Path 134 - Length 1888	Prob 0.000000e+00
Path 135 - Length 804	Prob 2.858618e-248
Path 136 - Length 8066	Prob 0.000000e+00
Path 137 - Length 7206	Prob 0.000000e+00
Path 138 - Length 698	Prob 1.011839e-215
Path 139 - Length 2454	Prob 0.000000e+00
Path 140 - Length 4290	Prob 0.000000e+00
Path 141 - Length 3740	Prob 0.000000e+00
Path 142 - Length 10480	Prob 0.000000e+00
Path 143 - Length 1344	Prob 0.000000e+00
Path 144 - Length 588	Prob 3.513726e-184
Path 145 - Length 864	Prob 5.356923e-273
Path 146 - Length 2700	Prob 0.000000e+00
Path 147 - Length 12748	Prob 0.000000e+00
Path 148 - Length 1412	Prob 0.000000e+00
Path 149 - Length 1772	Prob 0.000000e+00
Path 150 - Length 5666	Prob 0.000000e+00
Path 151 - Length 940	Prob 3.057511e-291
Path 152 - Length 12458	Prob 0.000000e+00
Path 153 - Length 9470	Prob 0.000000e+00
Path 154 - Length 1374	Prob 0.000000e+00
Path 155 - Length 10824	Prob 0.000000e+00
Path 156 - Length 698	Prob 2.805666e-216
Path 157 - Length 444	Prob 1.932839e-138
Path 158 - Length 20300	Prob 0.000000e+00
Path 159 - Length 392	Prob 1.670908e-125
Path 160 - Length 348	Prob 1.147651e-109
Path 161 - Length 2004	Prob 0.000000e+00
Path 162 - Length 2322	Prob 0.000000e+00
Path 163 - Length 2210	Prob 0.000000e+00
Path 164 - Length 1330	Prob 0.000000e+00
Path 165 - Length 12718	Prob 0.000000e+00
Path 166 - Length 4388	Prob 0.000000e+00
Path 167 - Length 4670	Prob 0.000000e+00
Path 168 - Length 4428	Prob 0.000000e+00
Path 169 - Length 1334	Prob 0.000000e+00
Path 170 - Length 3206	Prob 0.000000e+00
Path 171 - Length 1324	Prob 0.000000e+00
Path 172 - Length 7164	Prob 0.000000e+00
Path 173 - Length 562	Prob 1.589143e-176
Path 174 - Length 4078	Prob 0.000000e+00
Path 175 - Length 1172	Prob 0.000000e+00
Path 176 - Length 1056	Prob 0.000000e+00
Path 177 - Length 540	Prob 2.786998e-170
Path 178 - Length 360	Prob 7.726119e-116
Path 179 - Length 8810	Prob 0.000000e+00
Path 180 - Length 660	Prob 3.259851e-207
Path 181 - Length 408	Prob 1.913767e-130
Path 182 - Length 226	Prob 2.425663e-73
Path 183 - Length 3108	Prob 0.000000e+00
Path 184 - Length 3722	Prob 0.000000e+00
Path 185 - Length 5994	Prob 0.000000e+00
Path 186 - Length 8276	Prob 0.000000e+00
Path 187 - Length 1664	Prob 0.000000e+00
Path 188 - Length 1032	Prob 1.366540e-319
Path 189 - Length 292	Prob 4.714240e-94
Path 190 - Length 3410	Prob 0.000000e+00
Path 191 - Length 314	Prob 8.907873e-101
Path 192 - Length 11384	Prob 0.000000e+00
Path 193 - Length 10158	Prob 0.000000e+00
Path 194 - Length 694	Prob 5.387906e-217
Path 195 - Length 1888	Prob 0.000000e+00
Path 196 - Length 6636	Prob 0.000000e+00
Path 197 - Length 3386	Prob 0.000000e+00
Path 198 - Length 9432	Prob 0.000000e+00
Path 199 - Length 758	Prob 1.874895e-236
Path 200 - Length 41800	Prob 0.000000e+00
Path 201 - Length 1582	Prob 0.000000e+00
Path 202 - Length 724	Prob 1.224145e-226
Path 203 - Length 8260	Prob 0.000000e+00
Path 204 - Length 2478	Prob 0.000000e+00
Path 205 - Length 10526	Prob 0.000000e+00
Path 206 - Length 2416	Prob 0.000000e+00
Path 207 - Length 2480	Prob 0.000000e+00
Path 208 - Length 4176	Prob 0.000000e+00
Path 209 - Length 6626	Prob 0.000000e+00
Path 210 - Length 2024	Prob 0.000000e+00
Path 211 - Length 8946	Prob 0.000000e+00
Path 212 - Length 836	Prob 5.670336e-261
Path 213 - Length 2192	Prob 0.000000e+00
Path 214 - Length 3592	Prob 0.000000e+00
Path 215 - Length 1678	Prob 0.000000e+00
Path 216 - Length 342	Prob 8.053403e-109
Path 217 - Length 13660	Prob 0.000000e+00
Path 218 - Length 812	Prob 4.326073e-254
Path 219 - Length 3382	Prob 0.000000e+00
Path 220 - Length 3230	Prob 0.000000e+00
Path 221 - Length 5574	Prob 0.000000e+00
Path 222 - Length 15762	Prob 0.000000e+00
Path 223 - Length 2272	Prob 0.000000e+00
Path 224 - Length 3244	Prob 0.000000e+00
Path 225 - Length 3034	Prob 0.000000e+00
Path 226 - Length 2406	Prob 0.000000e+00
Path 227 - Length 4354	Prob 0.000000e+00
Path 228 - Length 9940	Prob 0.000000e+00
Path 229 - Length 5398	Prob 0.000000e+00
Path 230 - Length 10876	Prob 0.000000e+00
Path 231 - Length 1804	Prob 0.000000e+00
Path 232 - Length 15388	Prob 0.000000e+00
Path 233 - Length 1240	Prob 0.000000e+00
Path 234 - Length 370	Prob 1.135492e-118
Path 235 - Length 1150	Prob 0.000000e+00
Path 236 - Length 896	Prob 3.581593e-276
Path 237 - Length 2476	Prob 0.000000e+00
Path 238 - Length 1594	Prob 0.000000e+00
Path 239 - Length 10844	Prob 0.000000e+00
Path 240 - Length 874	Prob 4.615501e-272
Path 241 - Length 1622	Prob 0.000000e+00
Path 242 - Length 364	Prob 3.278542e-115
Path 243 - Length 508	Prob 5.002221e-159
Path 244 - Length 2260	Prob 0.000000e+00
Path 245 - Length 10334	Prob 0.000000e+00
Path 246 - Length 1584	Prob 0.000000e+00
Path 247 - Length 5094	Prob 0.000000e+00
Path 248 - Length 5662	Prob 0.000000e+00
Path 249 - Length 1850	Prob 0.000000e+00
Path 250 - Length 1112	Prob 0.000000e+00
Path 251 - Length 638	Prob 7.313496e-201
Path 252 - Length 408	Prob 3.877636e-129
Path 253 - Length 5704	Prob 0.000000e+00
Path 254 - Length 6238	Prob 0.000000e+00
Path 255 - Length 12820	Prob 0.000000e+00
Path 256 - Length 5930	Prob 0.000000e+00
Path 257 - Length 526	Prob 6.735335e-169
Path 258 - Length 9964	Prob 0.000000e+00
Path 259 - Length 8710	Prob 0.000000e+00
Path 260 - Length 474	Prob 1.279683e-149
Path 261 - Length 1824	Prob 0.000000e+00
Path 262 - Length 19086	Prob 0.000000e+00
Path 263 - Length 1596	Prob 0.000000e+00
Path 264 - Length 13134	Prob 0.000000e+00
Path 265 - Length 10228	Prob 0.000000e+00
Path 266 - Length 10870	Prob 0.000000e+00
Path 267 - Length 8982	Prob 0.000000e+00
Path 268 - Length 942	Prob 1.577496e-295
Path 269 - Length 766	Prob 2.418327e-238
Path 270 - Length 1192	Prob 0.000000e+00
Path 271 - Length 13348	Prob 0.000000e+00
Path 272 - Length 3292	Prob 0.000000e+00
Path 273 - Length 1904	Prob 0.000000e+00
Path 274 - Length 1088	Prob 0.000000e+00
Path 275 - Length 4118	Prob 0.000000e+00
Path 276 - Length 9966	Prob 0.000000e+00
Path 277 - Length 1080	Prob 0.000000e+00
Path 278 - Length 5082	Prob 0.000000e+00
Path 279 - Length 3558	Prob 0.000000e+00
Path 280 - Length 3636	Prob 0.000000e+00
Path 281 - Length 5836	Prob 0.000000e+00
Path 282 - Length 6222	Prob 0.000000e+00
Path 283 - Length 1112	Prob 0.000000e+00
Path 284 - Length 8540	Prob 0.000000e+00
Path 285 - Length 8998	Prob 0.000000e+00
Path 286 - Length 3068	Prob 0.000000e+00
Path 287 - Length 4106	Prob 0.000000e+00
Path 288 - Length 908	Prob 3.445679e-284
Path 289 - Length 856	Prob 1.085160e-263
Path 290 - Length 2590	Prob 0.000000e+00
Path 291 - Length 230	Prob 1.779370e-75
Path 292 - Length 6626	Prob 0.000000e+00
Path 293 - Length 1928	Prob 0.000000e+00
Path 294 - Length 2756	Prob 0.000000e+00
