(javac -classpath "/usr/local/bin/prism/classes:/usr/local/bin/prism/lib/*:/usr/local/bin/prism/prism/classes:/usr/local/bin/prism/prism/lib/*" -d classes src/./GetProbability.java)
PRISM_DIR=/usr/local/bin/prism PRISM_MAINCLASS=simulate.GetProbability bin/run
bin/run: 21: [[: not found



********************************

WORKING ON models/2react.sm

********************************
Path 0 - Length 238	Prob 2.467231e-77
Path 1 - Length 5210	Prob 0.000000e+00
Path 2 - Length 8762	Prob 0.000000e+00
Path 3 - Length 9258	Prob 0.000000e+00
Path 4 - Length 2570	Prob 0.000000e+00
Path 5 - Length 13564	Prob 0.000000e+00
Path 6 - Length 3174	Prob 0.000000e+00
Path 7 - Length 5130	Prob 0.000000e+00
Path 8 - Length 4852	Prob 0.000000e+00
Path 9 - Length 6636	Prob 0.000000e+00
Path 10 - Length 3272	Prob 0.000000e+00
Path 11 - Length 856	Prob 4.160908e-266
Path 12 - Length 5444	Prob 0.000000e+00
Path 13 - Length 5610	Prob 0.000000e+00
Path 14 - Length 3852	Prob 0.000000e+00
Path 15 - Length 2784	Prob 0.000000e+00
Path 16 - Length 3032	Prob 0.000000e+00
Path 17 - Length 2320	Prob 0.000000e+00
Path 18 - Length 2856	Prob 0.000000e+00
Path 19 - Length 1916	Prob 0.000000e+00
Path 20 - Length 8970	Prob 0.000000e+00
Path 21 - Length 2208	Prob 0.000000e+00
Path 22 - Length 642	Prob 1.568806e-198
Path 23 - Length 712	Prob 6.778104e-222
Path 24 - Length 370	Prob 5.166327e-117
Path 25 - Length 3390	Prob 0.000000e+00
Path 26 - Length 1892	Prob 0.000000e+00
Path 27 - Length 5086	Prob 0.000000e+00
Path 28 - Length 2792	Prob 0.000000e+00
Path 29 - Length 14018	Prob 0.000000e+00
Path 30 - Length 10446	Prob 0.000000e+00
Path 31 - Length 9802	Prob 0.000000e+00
Path 32 - Length 2606	Prob 0.000000e+00
Path 33 - Length 4954	Prob 0.000000e+00
Path 34 - Length 636	Prob 1.219690e-195
Path 35 - Length 1218	Prob 0.000000e+00
Path 36 - Length 998	Prob 8.346578e-309
Path 37 - Length 1670	Prob 0.000000e+00
Path 38 - Length 9906	Prob 0.000000e+00
Path 39 - Length 11266	Prob 0.000000e+00
Path 40 - Length 1166	Prob 0.000000e+00
Path 41 - Length 4058	Prob 0.000000e+00
Path 42 - Length 1416	Prob 0.000000e+00
Path 43 - Length 4094	Prob 0.000000e+00
Path 44 - Length 8484	Prob 0.000000e+00
Path 45 - Length 664	Prob 2.938223e-207
Path 46 - Length 1050	Prob 0.000000e+00
Path 47 - Length 2372	Prob 0.000000e+00
Path 48 - Length 3270	Prob 0.000000e+00
Path 49 - Length 996	Prob 2.230835e-311
Path 50 - Length 15780	Prob 0.000000e+00
Path 51 - Length 20384	Prob 0.000000e+00
Path 52 - Length 8072	Prob 0.000000e+00
Path 53 - Length 7594	Prob 0.000000e+00
Path 54 - Length 612	Prob 5.178703e-193
Path 55 - Length 7882	Prob 0.000000e+00
Path 56 - Length 4696	Prob 0.000000e+00
Path 57 - Length 1564	Prob 0.000000e+00
Path 58 - Length 890	Prob 1.236151e-277
Path 59 - Length 926	Prob 2.689445e-294
Path 60 - Length 858	Prob 9.505314e-269
Path 61 - Length 9988	Prob 0.000000e+00
Path 62 - Length 1236	Prob 0.000000e+00
Path 63 - Length 2180	Prob 0.000000e+00
Path 64 - Length 466	Prob 3.325697e-146
Path 65 - Length 406	Prob 1.472746e-128
Path 66 - Length 302	Prob 2.289180e-96
Path 67 - Length 2140	Prob 0.000000e+00
Path 68 - Length 10492	Prob 0.000000e+00
Path 69 - Length 1092	Prob 0.000000e+00
Path 70 - Length 9198	Prob 0.000000e+00
Path 71 - Length 1256	Prob 0.000000e+00
Path 72 - Length 5354	Prob 0.000000e+00
Path 73 - Length 1422	Prob 0.000000e+00
Path 74 - Length 7970	Prob 0.000000e+00
Path 75 - Length 9060	Prob 0.000000e+00
Path 76 - Length 2598	Prob 0.000000e+00
Path 77 - Length 2948	Prob 0.000000e+00
Path 78 - Length 2034	Prob 0.000000e+00
Path 79 - Length 4010	Prob 0.000000e+00
Path 80 - Length 3104	Prob 0.000000e+00
Path 81 - Length 4510	Prob 0.000000e+00
Path 82 - Length 2094	Prob 0.000000e+00
Path 83 - Length 4972	Prob 0.000000e+00
Path 84 - Length 870	Prob 3.496783e-270
Path 85 - Length 10484	Prob 0.000000e+00
Path 86 - Length 7568	Prob 0.000000e+00
Path 87 - Length 2200	Prob 0.000000e+00
Path 88 - Length 11320	Prob 0.000000e+00
Path 89 - Length 11456	Prob 0.000000e+00
Path 90 - Length 4718	Prob 0.000000e+00
Path 91 - Length 5904	Prob 0.000000e+00
Path 92 - Length 5058	Prob 0.000000e+00
Path 93 - Length 404	Prob 9.008936e-128
Path 94 - Length 28920	Prob 0.000000e+00
Path 95 - Length 22804	Prob 0.000000e+00
Path 96 - Length 4138	Prob 0.000000e+00
Path 97 - Length 7682	Prob 0.000000e+00
Path 98 - Length 1288	Prob 0.000000e+00
Path 99 - Length 974	Prob 1.140105e-300
Path 100 - Length 516	Prob 1.424975e-161
Path 101 - Length 1430	Prob 0.000000e+00
Path 102 - Length 7924	Prob 0.000000e+00
Path 103 - Length 2178	Prob 0.000000e+00
Path 104 - Length 17484	Prob 0.000000e+00
Path 105 - Length 2474	Prob 0.000000e+00
Path 106 - Length 3090	Prob 0.000000e+00
Path 107 - Length 308	Prob 6.302396e-98
Path 108 - Length 258	Prob 2.637965e-83
Path 109 - Length 2428	Prob 0.000000e+00
Path 110 - Length 1686	Prob 0.000000e+00
Path 111 - Length 1216	Prob 0.000000e+00
Path 112 - Length 7702	Prob 0.000000e+00
Path 113 - Length 12570	Prob 0.000000e+00
Path 114 - Length 332	Prob 8.604542e-107
Path 115 - Length 644	Prob 5.055777e-204
Path 116 - Length 1150	Prob 0.000000e+00
Path 117 - Length 528	Prob 2.243836e-168
Path 118 - Length 2068	Prob 0.000000e+00
Path 119 - Length 11718	Prob 0.000000e+00
Path 120 - Length 8210	Prob 0.000000e+00
