(javac -classpath "/usr/local/bin/prism/classes:/usr/local/bin/prism/lib/*:/usr/local/bin/prism/prism/classes:/usr/local/bin/prism/prism/lib/*" -d classes src/./GetProbability.java)
PRISM_DIR=/usr/local/bin/prism PRISM_MAINCLASS=simulate.GetProbability bin/run
bin/run: 21: [[: not found



********************************

WORKING ON models/2react.sm

********************************
Path 0 - Length 754	Prob 1.182492e-232
Path 1 - Length 13550	Prob 0.000000e+00
Path 2 - Length 988	Prob 6.085582e-305
Path 3 - Length 7128	Prob 0.000000e+00
Path 4 - Length 4534	Prob 0.000000e+00
Path 5 - Length 1694	Prob 0.000000e+00
Path 6 - Length 832	Prob 5.556530e-257
Path 7 - Length 418	Prob 1.503047e-131
Path 8 - Length 1008	Prob 1.682708e-314
Path 9 - Length 11588	Prob 0.000000e+00
Path 10 - Length 8356	Prob 0.000000e+00
Path 11 - Length 2774	Prob 0.000000e+00
Path 12 - Length 7958	Prob 0.000000e+00
Path 13 - Length 11358	Prob 0.000000e+00
Path 14 - Length 2680	Prob 0.000000e+00
Path 15 - Length 3458	Prob 0.000000e+00
Path 16 - Length 7478	Prob 0.000000e+00
Path 17 - Length 474	Prob 1.166723e-149
Path 18 - Length 1668	Prob 0.000000e+00
Path 19 - Length 670	Prob 1.972980e-207
Path 20 - Length 30324	Prob 0.000000e+00
Path 21 - Length 1404	Prob 0.000000e+00
Path 22 - Length 18462	Prob 0.000000e+00
Path 23 - Length 11382	Prob 0.000000e+00
Path 24 - Length 14788	Prob 0.000000e+00
Path 25 - Length 360	Prob 1.530705e-113
Path 26 - Length 12928	Prob 0.000000e+00
Path 27 - Length 7220	Prob 0.000000e+00
Path 28 - Length 4550	Prob 0.000000e+00
Path 29 - Length 9256	Prob 0.000000e+00
Path 30 - Length 3020	Prob 0.000000e+00
Path 31 - Length 2546	Prob 0.000000e+00
Path 32 - Length 8404	Prob 0.000000e+00
Path 33 - Length 5388	Prob 0.000000e+00
Path 34 - Length 3002	Prob 0.000000e+00
Path 35 - Length 5988	Prob 0.000000e+00
Path 36 - Length 1368	Prob 0.000000e+00
Path 37 - Length 3422	Prob 0.000000e+00
Path 38 - Length 866	Prob 4.293689e-268
Path 39 - Length 10974	Prob 0.000000e+00
Path 40 - Length 2958	Prob 0.000000e+00
Path 41 - Length 1980	Prob 0.000000e+00
Path 42 - Length 830	Prob 1.691509e-257
Path 43 - Length 1568	Prob 0.000000e+00
Path 44 - Length 2720	Prob 0.000000e+00
Path 45 - Length 8164	Prob 0.000000e+00
Path 46 - Length 1288	Prob 0.000000e+00
Path 47 - Length 980	Prob 2.694803e-309
Path 48 - Length 5122	Prob 0.000000e+00
Path 49 - Length 1510	Prob 0.000000e+00
Path 50 - Length 4582	Prob 0.000000e+00
Path 51 - Length 13192	Prob 0.000000e+00
Path 52 - Length 1024	Prob 9.787810e-314
Path 53 - Length 502	Prob 1.217331e-156
Path 54 - Length 6544	Prob 0.000000e+00
Path 55 - Length 918	Prob 9.081293e-282
Path 56 - Length 7904	Prob 0.000000e+00
Path 57 - Length 6086	Prob 0.000000e+00
Path 58 - Length 1218	Prob 0.000000e+00
Path 59 - Length 15068	Prob 0.000000e+00
