(javac -classpath "/usr/local/bin/prism/classes:/usr/local/bin/prism/lib/*:/usr/local/bin/prism/prism/classes:/usr/local/bin/prism/prism/lib/*" -d classes src/./GetProbability.java)
PRISM_DIR=/usr/local/bin/prism PRISM_MAINCLASS=simulate.GetProbability bin/run
bin/run: 21: [[: not found



********************************

WORKING ON models/2react.sm

********************************
Path 0 - Length 882	Prob 1.190646e-271
Path 1 - Length 8132	Prob 0.000000e+00
Path 2 - Length 3296	Prob 0.000000e+00
Path 3 - Length 6378	Prob 0.000000e+00
Path 4 - Length 1030	Prob 0.000000e+00
Path 5 - Length 4068	Prob 0.000000e+00
Path 6 - Length 1232	Prob 0.000000e+00
Path 7 - Length 2526	Prob 0.000000e+00
Path 8 - Length 3892	Prob 0.000000e+00
Path 9 - Length 2388	Prob 0.000000e+00
Path 10 - Length 8620	Prob 0.000000e+00
Path 11 - Length 1246	Prob 0.000000e+00
Path 12 - Length 974	Prob 1.128874e-299
Path 13 - Length 592	Prob 1.011844e-185
Path 14 - Length 780	Prob 4.365677e-240
Path 15 - Length 11770	Prob 0.000000e+00
Path 16 - Length 11076	Prob 0.000000e+00
Path 17 - Length 550	Prob 1.143459e-171
Path 18 - Length 958	Prob 9.263383e-297
Path 19 - Length 2258	Prob 0.000000e+00
Path 20 - Length 584	Prob 5.332561e-182
Path 21 - Length 1282	Prob 0.000000e+00
Path 22 - Length 822	Prob 5.639296e-254
Path 23 - Length 3686	Prob 0.000000e+00
Path 24 - Length 2294	Prob 0.000000e+00
Path 25 - Length 836	Prob 4.310501e-259
Path 26 - Length 1560	Prob 0.000000e+00
Path 27 - Length 12198	Prob 0.000000e+00
Path 28 - Length 2796	Prob 0.000000e+00
Path 29 - Length 836	Prob 2.136390e-263
Path 30 - Length 8970	Prob 0.000000e+00
Path 31 - Length 7398	Prob 0.000000e+00
Path 32 - Length 2786	Prob 0.000000e+00
Path 33 - Length 3300	Prob 0.000000e+00
Path 34 - Length 552	Prob 4.641632e-174
Path 35 - Length 608	Prob 1.487866e-190
Path 36 - Length 5550	Prob 0.000000e+00
Path 37 - Length 682	Prob 1.531871e-211
Path 38 - Length 298	Prob 3.342761e-96
Path 39 - Length 8994	Prob 0.000000e+00
Path 40 - Length 362	Prob 3.529260e-114
Path 41 - Length 4814	Prob 0.000000e+00
Path 42 - Length 1460	Prob 0.000000e+00
Path 43 - Length 5316	Prob 0.000000e+00
Path 44 - Length 12282	Prob 0.000000e+00
Path 45 - Length 768	Prob 9.115532e-237
Path 46 - Length 7450	Prob 0.000000e+00
Path 47 - Length 11886	Prob 0.000000e+00
Path 48 - Length 364	Prob 3.660900e-115
Path 49 - Length 834	Prob 3.248581e-257
Path 50 - Length 1116	Prob 0.000000e+00
Path 51 - Length 6858	Prob 0.000000e+00
Path 52 - Length 1328	Prob 0.000000e+00
Path 53 - Length 590	Prob 6.403954e-183
Path 54 - Length 2028	Prob 0.000000e+00
Path 55 - Length 3718	Prob 0.000000e+00
Path 56 - Length 832	Prob 2.068726e-258
Path 57 - Length 748	Prob 8.094436e-233
Path 58 - Length 10162	Prob 0.000000e+00
Path 59 - Length 6164	Prob 0.000000e+00
Path 60 - Length 2340	Prob 0.000000e+00
Path 61 - Length 6036	Prob 0.000000e+00
Path 62 - Length 10466	Prob 0.000000e+00
Path 63 - Length 1246	Prob 0.000000e+00
Path 64 - Length 1782	Prob 0.000000e+00
Path 65 - Length 16586	Prob 0.000000e+00
Path 66 - Length 7770	Prob 0.000000e+00
Path 67 - Length 8826	Prob 0.000000e+00
Path 68 - Length 3104	Prob 0.000000e+00
Path 69 - Length 1410	Prob 0.000000e+00
Path 70 - Length 4684	Prob 0.000000e+00
Path 71 - Length 956	Prob 9.354151e-296
Path 72 - Length 1960	Prob 0.000000e+00
Path 73 - Length 7716	Prob 0.000000e+00
Path 74 - Length 13862	Prob 0.000000e+00
Path 75 - Length 11092	Prob 0.000000e+00
Path 76 - Length 5672	Prob 0.000000e+00
Path 77 - Length 1322	Prob 0.000000e+00
Path 78 - Length 2204	Prob 0.000000e+00
Path 79 - Length 164	Prob 2.591223e-54
Path 80 - Length 3942	Prob 0.000000e+00
Path 81 - Length 4466	Prob 0.000000e+00
Path 82 - Length 9026	Prob 0.000000e+00
Path 83 - Length 9198	Prob 0.000000e+00
Path 84 - Length 9208	Prob 0.000000e+00
Path 85 - Length 10474	Prob 0.000000e+00
Path 86 - Length 1376	Prob 0.000000e+00
Path 87 - Length 11632	Prob 0.000000e+00
Path 88 - Length 4552	Prob 0.000000e+00
Path 89 - Length 2490	Prob 0.000000e+00
Path 90 - Length 388	Prob 3.108463e-123
Path 91 - Length 1078	Prob 0.000000e+00
Path 92 - Length 2542	Prob 0.000000e+00
Path 93 - Length 2526	Prob 0.000000e+00
Path 94 - Length 20864	Prob 0.000000e+00
Path 95 - Length 816	Prob 2.579099e-250
Path 96 - Length 674	Prob 4.419469e-211
Path 97 - Length 2056	Prob 0.000000e+00
Path 98 - Length 3666	Prob 0.000000e+00
Path 99 - Length 11206	Prob 0.000000e+00
Path 100 - Length 1158	Prob 0.000000e+00
Path 101 - Length 6606	Prob 0.000000e+00
Path 102 - Length 9264	Prob 0.000000e+00
Path 103 - Length 5304	Prob 0.000000e+00
Path 104 - Length 6324	Prob 0.000000e+00
Path 105 - Length 1414	Prob 0.000000e+00
Path 106 - Length 4906	Prob 0.000000e+00
Path 107 - Length 728	Prob 1.504424e-226
Path 108 - Length 3606	Prob 0.000000e+00
Path 109 - Length 3834	Prob 0.000000e+00
Path 110 - Length 6266	Prob 0.000000e+00
Path 111 - Length 2688	Prob 0.000000e+00
Path 112 - Length 4044	Prob 0.000000e+00
Path 113 - Length 370	Prob 6.248348e-117
Path 114 - Length 7594	Prob 0.000000e+00
Path 115 - Length 1094	Prob 0.000000e+00
Path 116 - Length 4740	Prob 0.000000e+00
Path 117 - Length 5934	Prob 0.000000e+00
Path 118 - Length 6762	Prob 0.000000e+00
Path 119 - Length 7550	Prob 0.000000e+00
Path 120 - Length 958	Prob 1.174630e-300
Path 121 - Length 19706	Prob 0.000000e+00
Path 122 - Length 804	Prob 2.517454e-249
Path 123 - Length 1376	Prob 0.000000e+00
Path 124 - Length 980	Prob 4.782386e-301
Path 125 - Length 1918	Prob 0.000000e+00
Path 126 - Length 514	Prob 1.231400e-161
Path 127 - Length 8988	Prob 0.000000e+00
Path 128 - Length 3600	Prob 0.000000e+00
Path 129 - Length 4774	Prob 0.000000e+00
Path 130 - Length 8014	Prob 0.000000e+00
Path 131 - Length 2994	Prob 0.000000e+00
Path 132 - Length 6024	Prob 0.000000e+00
Path 133 - Length 13814	Prob 0.000000e+00
Path 134 - Length 8194	Prob 0.000000e+00
Path 135 - Length 1736	Prob 0.000000e+00
Path 136 - Length 1334	Prob 0.000000e+00
Path 137 - Length 5948	Prob 0.000000e+00
Path 138 - Length 448	Prob 5.471633e-141
Path 139 - Length 138	Prob 1.494732e-46
Path 140 - Length 4092	Prob 0.000000e+00
Path 141 - Length 2872	Prob 0.000000e+00
Path 142 - Length 9096	Prob 0.000000e+00
Path 143 - Length 4742	Prob 0.000000e+00
Path 144 - Length 788	Prob 1.582088e-243
Path 145 - Length 2338	Prob 0.000000e+00
Path 146 - Length 572	Prob 7.461106e-179
Path 147 - Length 2200	Prob 0.000000e+00
Path 148 - Length 2274	Prob 0.000000e+00
Path 149 - Length 1770	Prob 0.000000e+00
Path 150 - Length 11476	Prob 0.000000e+00
Path 151 - Length 3874	Prob 0.000000e+00
Path 152 - Length 810	Prob 3.990834e-251
Path 153 - Length 770	Prob 5.428530e-238
Path 154 - Length 23290	Prob 0.000000e+00
Path 155 - Length 3938	Prob 0.000000e+00
Path 156 - Length 7612	Prob 0.000000e+00
Path 157 - Length 4764	Prob 0.000000e+00
Path 158 - Length 1244	Prob 0.000000e+00
Path 159 - Length 1116	Prob 0.000000e+00
Path 160 - Length 1172	Prob 0.000000e+00
Path 161 - Length 1812	Prob 0.000000e+00
Path 162 - Length 10836	Prob 0.000000e+00
Path 163 - Length 750	Prob 1.245250e-230
Path 164 - Length 1372	Prob 0.000000e+00
Path 165 - Length 16176	Prob 0.000000e+00
Path 166 - Length 2598	Prob 0.000000e+00
Path 167 - Length 1698	Prob 0.000000e+00
Path 168 - Length 924	Prob 2.769019e-286
Path 169 - Length 2008	Prob 0.000000e+00
Path 170 - Length 10112	Prob 0.000000e+00
Path 171 - Length 11752	Prob 0.000000e+00
Path 172 - Length 1418	Prob 0.000000e+00
Path 173 - Length 818	Prob 3.769450e-250
Path 174 - Length 2134	Prob 0.000000e+00
Path 175 - Length 3256	Prob 0.000000e+00
Path 176 - Length 6912	Prob 0.000000e+00
Path 177 - Length 13878	Prob 0.000000e+00
Path 178 - Length 13116	Prob 0.000000e+00
Path 179 - Length 744	Prob 1.833241e-230
Path 180 - Length 9026	Prob 0.000000e+00
Path 181 - Length 5606	Prob 0.000000e+00
Path 182 - Length 3836	Prob 0.000000e+00
Path 183 - Length 400	Prob 3.961200e-127
Path 184 - Length 3012	Prob 0.000000e+00
Path 185 - Length 8022	Prob 0.000000e+00
Path 186 - Length 10358	Prob 0.000000e+00
Path 187 - Length 12612	Prob 0.000000e+00
Path 188 - Length 3794	Prob 0.000000e+00
Path 189 - Length 8046	Prob 0.000000e+00
Path 190 - Length 3436	Prob 0.000000e+00
Path 191 - Length 8762	Prob 0.000000e+00
Path 192 - Length 1470	Prob 0.000000e+00
Path 193 - Length 25038	Prob 0.000000e+00
Path 194 - Length 2666	Prob 0.000000e+00
Path 195 - Length 2158	Prob 0.000000e+00
Path 196 - Length 15000	Prob 0.000000e+00
Path 197 - Length 2992	Prob 0.000000e+00
Path 198 - Length 948	Prob 1.288396e-294
Path 199 - Length 7528	Prob 0.000000e+00
Path 200 - Length 2720	Prob 0.000000e+00
Path 201 - Length 9166	Prob 0.000000e+00
Path 202 - Length 13202	Prob 0.000000e+00
Path 203 - Length 2984	Prob 0.000000e+00
Path 204 - Length 1090	Prob 0.000000e+00
Path 205 - Length 4224	Prob 0.000000e+00
Path 206 - Length 1018	Prob 2.290287e-315
Path 207 - Length 1578	Prob 0.000000e+00
Path 208 - Length 13382	Prob 0.000000e+00
Path 209 - Length 1508	Prob 0.000000e+00
Path 210 - Length 8388	Prob 0.000000e+00
Path 211 - Length 164	Prob 2.004199e-54
Path 212 - Length 416	Prob 9.492860e-130
Path 213 - Length 4124	Prob 0.000000e+00
Path 214 - Length 10540	Prob 0.000000e+00
Path 215 - Length 3408	Prob 0.000000e+00
Path 216 - Length 2162	Prob 0.000000e+00
Path 217 - Length 516	Prob 1.017500e-160
Path 218 - Length 390	Prob 7.861269e-123
Path 219 - Length 402	Prob 9.104504e-127
Path 220 - Length 558	Prob 8.945035e-175
Path 221 - Length 12892	Prob 0.000000e+00
Path 222 - Length 936	Prob 6.404279e-293
Path 223 - Length 2104	Prob 0.000000e+00
Path 224 - Length 2030	Prob 0.000000e+00
Path 225 - Length 9110	Prob 0.000000e+00
Path 226 - Length 5602	Prob 0.000000e+00
Path 227 - Length 334	Prob 1.101211e-105
Path 228 - Length 546	Prob 3.164528e-169
Path 229 - Length 29796	Prob 0.000000e+00
Path 230 - Length 512	Prob 5.457241e-161
Path 231 - Length 8160	Prob 0.000000e+00
Path 232 - Length 13530	Prob 0.000000e+00
Path 233 - Length 8684	Prob 0.000000e+00
Path 234 - Length 4994	Prob 0.000000e+00
Path 235 - Length 11328	Prob 0.000000e+00
Path 236 - Length 7774	Prob 0.000000e+00
Path 237 - Length 6938	Prob 0.000000e+00
Path 238 - Length 1420	Prob 0.000000e+00
Path 239 - Length 7920	Prob 0.000000e+00
Path 240 - Length 3026	Prob 0.000000e+00
Path 241 - Length 2416	Prob 0.000000e+00
Path 242 - Length 5258	Prob 0.000000e+00
