(javac -classpath "/usr/local/bin/prism/classes:/usr/local/bin/prism/lib/*:/usr/local/bin/prism/prism/classes:/usr/local/bin/prism/prism/lib/*" -d classes src/./GetProbability.java)
PRISM_DIR=/usr/local/bin/prism PRISM_MAINCLASS=simulate.GetProbability bin/run
bin/run: 21: [[: not found



********************************

WORKING ON models/2react.sm

********************************
Path 0 - Length 296	Prob 9.489855e-94
Path 1 - Length 5062	Prob 0.000000e+00
Path 2 - Length 4090	Prob 0.000000e+00
Path 3 - Length 6532	Prob 0.000000e+00
Path 4 - Length 6402	Prob 0.000000e+00
Path 5 - Length 3830	Prob 0.000000e+00
Path 6 - Length 7222	Prob 0.000000e+00
Path 7 - Length 15204	Prob 0.000000e+00
Path 8 - Length 5178	Prob 0.000000e+00
Path 9 - Length 834	Prob 7.947698e-256
Path 10 - Length 2858	Prob 0.000000e+00
Path 11 - Length 3478	Prob 0.000000e+00
Path 12 - Length 2928	Prob 0.000000e+00
Path 13 - Length 22222	Prob 0.000000e+00
Path 14 - Length 4070	Prob 0.000000e+00
Path 15 - Length 8466	Prob 0.000000e+00
Path 16 - Length 1302	Prob 0.000000e+00
Path 17 - Length 1104	Prob 0.000000e+00
Path 18 - Length 1918	Prob 0.000000e+00
Path 19 - Length 13624	Prob 0.000000e+00
Path 20 - Length 8576	Prob 0.000000e+00
Path 21 - Length 7234	Prob 0.000000e+00
Path 22 - Length 604	Prob 6.473245e-190
Path 23 - Length 15328	Prob 0.000000e+00
Path 24 - Length 5966	Prob 0.000000e+00
Path 25 - Length 7456	Prob 0.000000e+00
Path 26 - Length 2326	Prob 0.000000e+00
Path 27 - Length 3008	Prob 0.000000e+00
Path 28 - Length 5472	Prob 0.000000e+00
Path 29 - Length 3788	Prob 0.000000e+00
Path 30 - Length 21218	Prob 0.000000e+00
Path 31 - Length 17914	Prob 0.000000e+00
Path 32 - Length 1114	Prob 0.000000e+00
Path 33 - Length 2790	Prob 0.000000e+00
Path 34 - Length 838	Prob 6.744026e-260
Path 35 - Length 21318	Prob 0.000000e+00
Path 36 - Length 5346	Prob 0.000000e+00
Path 37 - Length 936	Prob 9.173167e-293
Path 38 - Length 1530	Prob 0.000000e+00
Path 39 - Length 1442	Prob 0.000000e+00
Path 40 - Length 16252	Prob 0.000000e+00
Path 41 - Length 7584	Prob 0.000000e+00
Path 42 - Length 866	Prob 2.225090e-268
Path 43 - Length 2204	Prob 0.000000e+00
Path 44 - Length 2904	Prob 0.000000e+00
Path 45 - Length 4374	Prob 0.000000e+00
Path 46 - Length 534	Prob 4.755610e-166
Path 47 - Length 7776	Prob 0.000000e+00
Path 48 - Length 11068	Prob 0.000000e+00
Path 49 - Length 4050	Prob 0.000000e+00
Path 50 - Length 980	Prob 5.584542e-301
Path 51 - Length 4016	Prob 0.000000e+00
Path 52 - Length 1632	Prob 0.000000e+00
Path 53 - Length 2330	Prob 0.000000e+00
Path 54 - Length 4990	Prob 0.000000e+00
Path 55 - Length 774	Prob 7.001894e-241
Path 56 - Length 19172	Prob 0.000000e+00
Path 57 - Length 12832	Prob 0.000000e+00
Path 58 - Length 400	Prob 3.515437e-126
Path 59 - Length 6804	Prob 0.000000e+00
Path 60 - Length 4672	Prob 0.000000e+00
Path 61 - Length 2166	Prob 0.000000e+00
Path 62 - Length 3522	Prob 0.000000e+00
Path 63 - Length 5388	Prob 0.000000e+00
Path 64 - Length 18132	Prob 0.000000e+00
Path 65 - Length 1354	Prob 0.000000e+00
Path 66 - Length 434	Prob 1.072078e-136
Path 67 - Length 436	Prob 8.037992e-137
Path 68 - Length 5382	Prob 0.000000e+00
Path 69 - Length 776	Prob 2.963597e-242
Path 70 - Length 348	Prob 4.877969e-110
Path 71 - Length 12650	Prob 0.000000e+00
Path 72 - Length 3900	Prob 0.000000e+00
Path 73 - Length 7480	Prob 0.000000e+00
Path 74 - Length 2018	Prob 0.000000e+00
Path 75 - Length 1096	Prob 0.000000e+00
Path 76 - Length 558	Prob 1.793114e-175
Path 77 - Length 958	Prob 6.664528e-299
Path 78 - Length 8446	Prob 0.000000e+00
Path 79 - Length 1602	Prob 0.000000e+00
Path 80 - Length 8238	Prob 0.000000e+00
Path 81 - Length 1732	Prob 0.000000e+00
Path 82 - Length 5354	Prob 0.000000e+00
Path 83 - Length 1098	Prob 0.000000e+00
Path 84 - Length 5012	Prob 0.000000e+00
Path 85 - Length 572	Prob 1.444678e-181
Path 86 - Length 7556	Prob 0.000000e+00
Path 87 - Length 678	Prob 1.185930e-212
Path 88 - Length 9624	Prob 0.000000e+00
Path 89 - Length 10888	Prob 0.000000e+00
Path 90 - Length 1222	Prob 0.000000e+00
Path 91 - Length 552	Prob 8.282772e-171
Path 92 - Length 9728	Prob 0.000000e+00
Path 93 - Length 920	Prob 6.076497e-289
Path 94 - Length 6558	Prob 0.000000e+00
Path 95 - Length 3518	Prob 0.000000e+00
Path 96 - Length 11156	Prob 0.000000e+00
Path 97 - Length 14638	Prob 0.000000e+00
Path 98 - Length 4802	Prob 0.000000e+00
Path 99 - Length 1704	Prob 0.000000e+00
Path 100 - Length 666	Prob 8.404703e-207
Path 101 - Length 2192	Prob 0.000000e+00
Path 102 - Length 17166	Prob 0.000000e+00
Path 103 - Length 3520	Prob 0.000000e+00
Path 104 - Length 1872	Prob 0.000000e+00
Path 105 - Length 2242	Prob 0.000000e+00
Path 106 - Length 4876	Prob 0.000000e+00
Path 107 - Length 3256	Prob 0.000000e+00
Path 108 - Length 3030	Prob 0.000000e+00
Path 109 - Length 7636	Prob 0.000000e+00
Path 110 - Length 3212	Prob 0.000000e+00
Path 111 - Length 9634	Prob 0.000000e+00
Path 112 - Length 3208	Prob 0.000000e+00
Path 113 - Length 3546	Prob 0.000000e+00
Path 114 - Length 2612	Prob 0.000000e+00
Path 115 - Length 7204	Prob 0.000000e+00
Path 116 - Length 6012	Prob 0.000000e+00
Path 117 - Length 728	Prob 2.423083e-229
Path 118 - Length 1526	Prob 0.000000e+00
Path 119 - Length 730	Prob 6.732489e-230
Path 120 - Length 960	Prob 8.041780e-303
Path 121 - Length 706	Prob 1.154692e-220
Path 122 - Length 2812	Prob 0.000000e+00
Path 123 - Length 14458	Prob 0.000000e+00
Path 124 - Length 4272	Prob 0.000000e+00
Path 125 - Length 708	Prob 7.310103e-222
Path 126 - Length 2038	Prob 0.000000e+00
Path 127 - Length 312	Prob 3.104180e-100
Path 128 - Length 1882	Prob 0.000000e+00
Path 129 - Length 7798	Prob 0.000000e+00
Path 130 - Length 1074	Prob 0.000000e+00
Path 131 - Length 13164	Prob 0.000000e+00
Path 132 - Length 9914	Prob 0.000000e+00
Path 133 - Length 4702	Prob 0.000000e+00
Path 134 - Length 19528	Prob 0.000000e+00
Path 135 - Length 1562	Prob 0.000000e+00
Path 136 - Length 2890	Prob 0.000000e+00
Path 137 - Length 11642	Prob 0.000000e+00
Path 138 - Length 9750	Prob 0.000000e+00
Path 139 - Length 2100	Prob 0.000000e+00
Path 140 - Length 4084	Prob 0.000000e+00
Path 141 - Length 4084	Prob 0.000000e+00
Path 142 - Length 4904	Prob 0.000000e+00
Path 143 - Length 29250	Prob 0.000000e+00
Path 144 - Length 526	Prob 2.247696e-166
Path 145 - Length 6502	Prob 0.000000e+00
Path 146 - Length 2000	Prob 0.000000e+00
Path 147 - Length 1376	Prob 0.000000e+00
Path 148 - Length 1202	Prob 0.000000e+00
Path 149 - Length 1008	Prob 3.071977e-311
Path 150 - Length 5642	Prob 0.000000e+00
Path 151 - Length 278	Prob 6.849136e-90
Path 152 - Length 6620	Prob 0.000000e+00
Path 153 - Length 18862	Prob 0.000000e+00
Path 154 - Length 8030	Prob 0.000000e+00
Path 155 - Length 2032	Prob 0.000000e+00
Path 156 - Length 590	Prob 6.240249e-185
Path 157 - Length 1518	Prob 0.000000e+00
Path 158 - Length 5052	Prob 0.000000e+00
Path 159 - Length 954	Prob 7.233557e-294
Path 160 - Length 642	Prob 1.903698e-199
Path 161 - Length 13960	Prob 0.000000e+00
Path 162 - Length 250	Prob 4.023788e-81
Path 163 - Length 3992	Prob 0.000000e+00
Path 164 - Length 3544	Prob 0.000000e+00
Path 165 - Length 14790	Prob 0.000000e+00
Path 166 - Length 7450	Prob 0.000000e+00
Path 167 - Length 1790	Prob 0.000000e+00
Path 168 - Length 460	Prob 3.709343e-146
Path 169 - Length 13026	Prob 0.000000e+00
Path 170 - Length 7626	Prob 0.000000e+00
Path 171 - Length 10750	Prob 0.000000e+00
Path 172 - Length 2514	Prob 0.000000e+00
Path 173 - Length 6342	Prob 0.000000e+00
Path 174 - Length 9578	Prob 0.000000e+00
Path 175 - Length 10580	Prob 0.000000e+00
Path 176 - Length 1490	Prob 0.000000e+00
