(javac -classpath "/usr/local/bin/prism/classes:/usr/local/bin/prism/lib/*:/usr/local/bin/prism/prism/classes:/usr/local/bin/prism/prism/lib/*" -d classes src/./GetProbability.java)
PRISM_DIR=/usr/local/bin/prism PRISM_MAINCLASS=simulate.GetProbability bin/run
bin/run: 21: [[: not found



********************************

WORKING ON models/2react.sm

********************************
Path 0 - Length 534	Prob 2.607247e-169
Path 1 - Length 2062	Prob 0.000000e+00
Path 2 - Length 1218	Prob 0.000000e+00
Path 3 - Length 5288	Prob 0.000000e+00
Path 4 - Length 624	Prob 4.894467e-198
Path 5 - Length 994	Prob 9.289188e-308
Path 6 - Length 10432	Prob 0.000000e+00
Path 7 - Length 5038	Prob 0.000000e+00
Path 8 - Length 2736	Prob 0.000000e+00
Path 9 - Length 568	Prob 1.507740e-175
Path 10 - Length 1322	Prob 0.000000e+00
Path 11 - Length 13790	Prob 0.000000e+00
Path 12 - Length 11692	Prob 0.000000e+00
Path 13 - Length 10084	Prob 0.000000e+00
Path 14 - Length 6964	Prob 0.000000e+00
Path 15 - Length 6974	Prob 0.000000e+00
Path 16 - Length 2414	Prob 0.000000e+00
Path 17 - Length 9318	Prob 0.000000e+00
Path 18 - Length 10504	Prob 0.000000e+00
Path 19 - Length 14602	Prob 0.000000e+00
Path 20 - Length 3404	Prob 0.000000e+00
Path 21 - Length 2076	Prob 0.000000e+00
Path 22 - Length 5296	Prob 0.000000e+00
Path 23 - Length 5946	Prob 0.000000e+00
Path 24 - Length 4366	Prob 0.000000e+00
Path 25 - Length 770	Prob 1.437071e-242
Path 26 - Length 9360	Prob 0.000000e+00
Path 27 - Length 264	Prob 8.151608e-85
Path 28 - Length 7516	Prob 0.000000e+00
Path 29 - Length 8346	Prob 0.000000e+00
Path 30 - Length 680	Prob 1.431471e-210
Path 31 - Length 14122	Prob 0.000000e+00
Path 32 - Length 1922	Prob 0.000000e+00
Path 33 - Length 6476	Prob 0.000000e+00
Path 34 - Length 2144	Prob 0.000000e+00
Path 35 - Length 2470	Prob 0.000000e+00
Path 36 - Length 11734	Prob 0.000000e+00
Path 37 - Length 4466	Prob 0.000000e+00
Path 38 - Length 6078	Prob 0.000000e+00
Path 39 - Length 11188	Prob 0.000000e+00
Path 40 - Length 764	Prob 4.071429e-239
Path 41 - Length 17834	Prob 0.000000e+00
Path 42 - Length 2222	Prob 0.000000e+00
Path 43 - Length 15556	Prob 0.000000e+00
Path 44 - Length 4248	Prob 0.000000e+00
Path 45 - Length 2394	Prob 0.000000e+00
Path 46 - Length 7144	Prob 0.000000e+00
Path 47 - Length 1538	Prob 0.000000e+00
Path 48 - Length 890	Prob 2.231961e-272
Path 49 - Length 874	Prob 2.446178e-267
Path 50 - Length 4942	Prob 0.000000e+00
Path 51 - Length 168	Prob 4.092957e-56
Path 52 - Length 6524	Prob 0.000000e+00
Path 53 - Length 870	Prob 9.791745e-268
Path 54 - Length 2426	Prob 0.000000e+00
Path 55 - Length 3956	Prob 0.000000e+00
Path 56 - Length 3338	Prob 0.000000e+00
Path 57 - Length 2270	Prob 0.000000e+00
Path 58 - Length 5822	Prob 0.000000e+00
Path 59 - Length 826	Prob 8.546474e-254
Path 60 - Length 14896	Prob 0.000000e+00
Path 61 - Length 6528	Prob 0.000000e+00
Path 62 - Length 12022	Prob 0.000000e+00
Path 63 - Length 11028	Prob 0.000000e+00
Path 64 - Length 514	Prob 4.706733e-159
Path 65 - Length 2542	Prob 0.000000e+00
Path 66 - Length 11940	Prob 0.000000e+00
Path 67 - Length 1930	Prob 0.000000e+00
Path 68 - Length 3878	Prob 0.000000e+00
Path 69 - Length 6954	Prob 0.000000e+00
Path 70 - Length 1852	Prob 0.000000e+00
Path 71 - Length 2690	Prob 0.000000e+00
Path 72 - Length 774	Prob 7.837773e-241
Path 73 - Length 1192	Prob 0.000000e+00
Path 74 - Length 284	Prob 6.640395e-91
Path 75 - Length 420	Prob 7.127638e-134
Path 76 - Length 1450	Prob 0.000000e+00
Path 77 - Length 5122	Prob 0.000000e+00
Path 78 - Length 3326	Prob 0.000000e+00
Path 79 - Length 6618	Prob 0.000000e+00
Path 80 - Length 2024	Prob 0.000000e+00
Path 81 - Length 1652	Prob 0.000000e+00
Path 82 - Length 2028	Prob 0.000000e+00
Path 83 - Length 11288	Prob 0.000000e+00
Path 84 - Length 2516	Prob 0.000000e+00
Path 85 - Length 1392	Prob 0.000000e+00
Path 86 - Length 7332	Prob 0.000000e+00
Path 87 - Length 750	Prob 9.675040e-237
Path 88 - Length 4408	Prob 0.000000e+00
Path 89 - Length 12082	Prob 0.000000e+00
