(javac -classpath "/usr/local/bin/prism/classes:/usr/local/bin/prism/lib/*:/usr/local/bin/prism/prism/classes:/usr/local/bin/prism/prism/lib/*" -d classes src/./GetProbability.java)
PRISM_DIR=/usr/local/bin/prism PRISM_MAINCLASS=simulate.GetProbability bin/run
bin/run: 21: [[: not found



********************************

WORKING ON models/2react.sm

********************************
Path 0 - Length 558	Prob 5.628350e-177
Path 1 - Length 468	Prob 2.888361e-148
Path 2 - Length 692	Prob 7.630481e-216
Path 3 - Length 1668	Prob 0.000000e+00
Path 4 - Length 3376	Prob 0.000000e+00
Path 5 - Length 562	Prob 5.145570e-176
Path 6 - Length 3120	Prob 0.000000e+00
Path 7 - Length 3016	Prob 0.000000e+00
Path 8 - Length 7672	Prob 0.000000e+00
Path 9 - Length 4412	Prob 0.000000e+00
Path 10 - Length 438	Prob 4.544510e-140
Path 11 - Length 9844	Prob 0.000000e+00
Path 12 - Length 2506	Prob 0.000000e+00
Path 13 - Length 5734	Prob 0.000000e+00
Path 14 - Length 4828	Prob 0.000000e+00
Path 15 - Length 418	Prob 2.721171e-133
Path 16 - Length 5874	Prob 0.000000e+00
Path 17 - Length 22648	Prob 0.000000e+00
Path 18 - Length 2434	Prob 0.000000e+00
Path 19 - Length 3706	Prob 0.000000e+00
Path 20 - Length 1948	Prob 0.000000e+00
Path 21 - Length 2166	Prob 0.000000e+00
Path 22 - Length 5964	Prob 0.000000e+00
Path 23 - Length 602	Prob 1.175131e-186
Path 24 - Length 412	Prob 1.646407e-131
Path 25 - Length 14558	Prob 0.000000e+00
Path 26 - Length 2582	Prob 0.000000e+00
Path 27 - Length 828	Prob 7.465075e-261
Path 28 - Length 3382	Prob 0.000000e+00
Path 29 - Length 2866	Prob 0.000000e+00
Path 30 - Length 1114	Prob 0.000000e+00
Path 31 - Length 11726	Prob 0.000000e+00
Path 32 - Length 4978	Prob 0.000000e+00
Path 33 - Length 1722	Prob 0.000000e+00
Path 34 - Length 18458	Prob 0.000000e+00
Path 35 - Length 12354	Prob 0.000000e+00
Path 36 - Length 3866	Prob 0.000000e+00
Path 37 - Length 8798	Prob 0.000000e+00
Path 38 - Length 2136	Prob 0.000000e+00
Path 39 - Length 1276	Prob 0.000000e+00
Path 40 - Length 6900	Prob 0.000000e+00
Path 41 - Length 4638	Prob 0.000000e+00
Path 42 - Length 3856	Prob 0.000000e+00
Path 43 - Length 1210	Prob 0.000000e+00
Path 44 - Length 4396	Prob 0.000000e+00
Path 45 - Length 9766	Prob 0.000000e+00
Path 46 - Length 31724	Prob 0.000000e+00
Path 47 - Length 254	Prob 2.642680e-82
Path 48 - Length 1864	Prob 0.000000e+00
Path 49 - Length 6966	Prob 0.000000e+00
Path 50 - Length 1272	Prob 0.000000e+00
Path 51 - Length 6706	Prob 0.000000e+00
Path 52 - Length 15386	Prob 0.000000e+00
Path 53 - Length 1184	Prob 0.000000e+00
Path 54 - Length 8856	Prob 0.000000e+00
Path 55 - Length 5090	Prob 0.000000e+00
Path 56 - Length 4304	Prob 0.000000e+00
Path 57 - Length 14038	Prob 0.000000e+00
Path 58 - Length 15094	Prob 0.000000e+00
Path 59 - Length 622	Prob 5.708083e-195
Path 60 - Length 2440	Prob 0.000000e+00
Path 61 - Length 5766	Prob 0.000000e+00
Path 62 - Length 1402	Prob 0.000000e+00
Path 63 - Length 12980	Prob 0.000000e+00
Path 64 - Length 6902	Prob 0.000000e+00
Path 65 - Length 1064	Prob 0.000000e+00
Path 66 - Length 1298	Prob 0.000000e+00
Path 67 - Length 410	Prob 1.188182e-129
Path 68 - Length 3838	Prob 0.000000e+00
Path 69 - Length 3758	Prob 0.000000e+00
Path 70 - Length 6130	Prob 0.000000e+00
Path 71 - Length 926	Prob 6.616719e-289
Path 72 - Length 1424	Prob 0.000000e+00
Path 73 - Length 4774	Prob 0.000000e+00
Path 74 - Length 3832	Prob 0.000000e+00
Path 75 - Length 1358	Prob 0.000000e+00
Path 76 - Length 2000	Prob 0.000000e+00
Path 77 - Length 3412	Prob 0.000000e+00
Path 78 - Length 222	Prob 6.820834e-72
Path 79 - Length 800	Prob 1.582661e-247
Path 80 - Length 5172	Prob 0.000000e+00
Path 81 - Length 6364	Prob 0.000000e+00
Path 82 - Length 16672	Prob 0.000000e+00
Path 83 - Length 732	Prob 6.134335e-231
Path 84 - Length 2982	Prob 0.000000e+00
Path 85 - Length 694	Prob 4.272136e-215
Path 86 - Length 402	Prob 5.194298e-129
Path 87 - Length 2008	Prob 0.000000e+00
Path 88 - Length 23614	Prob 0.000000e+00
Path 89 - Length 2200	Prob 0.000000e+00
Path 90 - Length 5532	Prob 0.000000e+00
Path 91 - Length 8240	Prob 0.000000e+00
Path 92 - Length 12556	Prob 0.000000e+00
Path 93 - Length 4150	Prob 0.000000e+00
Path 94 - Length 3192	Prob 0.000000e+00
Path 95 - Length 918	Prob 5.509674e-284
Path 96 - Length 2470	Prob 0.000000e+00
Path 97 - Length 3536	Prob 0.000000e+00
Path 98 - Length 390	Prob 3.500099e-124
Path 99 - Length 13452	Prob 0.000000e+00
Path 100 - Length 1284	Prob 0.000000e+00
Path 101 - Length 3594	Prob 0.000000e+00
Path 102 - Length 3964	Prob 0.000000e+00
Path 103 - Length 3224	Prob 0.000000e+00
Path 104 - Length 4460	Prob 0.000000e+00
Path 105 - Length 1846	Prob 0.000000e+00
Path 106 - Length 1926	Prob 0.000000e+00
Path 107 - Length 2018	Prob 0.000000e+00
Path 108 - Length 12090	Prob 0.000000e+00
Path 109 - Length 3918	Prob 0.000000e+00
Path 110 - Length 6166	Prob 0.000000e+00
Path 111 - Length 2604	Prob 0.000000e+00
Path 112 - Length 7530	Prob 0.000000e+00
Path 113 - Length 9410	Prob 0.000000e+00
Path 114 - Length 840	Prob 8.534825e-261
Path 115 - Length 292	Prob 7.082010e-93
Path 116 - Length 13876	Prob 0.000000e+00
Path 117 - Length 5872	Prob 0.000000e+00
